,molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm
1694,CHEMBL593205,CCCCN1C(=O)[C@H](CC2CCCCC2)NC(=O)C12CCN(CCc1cccc(Oc3ccc(C(=O)O)cc3)c1)CC2.Cl,active,13.0,612.2110000000002,6.073500000000006,2.0,5.0,13.0
1695,CHEMBL1077350,COC[C@@H](c1ccc(C(F)(F)F)cc1)N1CCN(C2C[C@@H]3CN(C(=O)c4c(C)ncnc4C)C[C@@H]3C2)C[C@@H]1C,active,500.0,545.6500000000002,4.356640000000004,0.0,6.0,500.0
1696,CHEMBL1077351,COC[C@@H](c1ccc(C(F)(F)F)cc1)N1CCN(C2C[C@@H]3CN(C(=O)c4c(C)ccnc4C)C[C@@H]3C2)C[C@@H]1C,active,500.0,544.6620000000003,4.961640000000005,0.0,5.0,500.0
1697,CHEMBL1077352,COC[C@@H](c1ccc(C(F)(F)F)cc1)N1CCN(C2C[C@@H]3CN(C(=O)c4c(C)cc(C#N)nc4C)C[C@@H]3C2)C[C@@H]1C,active,500.0,569.6720000000001,4.833320000000005,0.0,6.0,500.0
1698,CHEMBL1077353,CCO[C@H]1Cc2cc(C(F)(F)F)ccc2[C@@H]1N1CCN(C2C[C@@H]3CN(C(=O)c4c(C)ncnc4C)C[C@@H]3C2)C[C@@H]1C,active,92.0,571.6880000000002,4.671440000000005,0.0,6.0,92.0
1699,CHEMBL1077354,CCO[C@H]1Cc2cc(C(F)(F)F)ccc2[C@@H]1N1CCN(C2C[C@@H]3CN(C(=O)c4c(C)ccnc4C)C[C@@H]3C2)C[C@@H]1C,active,98.0,570.7000000000003,5.276440000000005,0.0,5.0,98.0
1700,CHEMBL1077355,CCO[C@H]1Cc2cc(C(F)(F)F)ccc2[C@@H]1N1CCN(C2C[C@@H]3CN(C(=O)c4c(C)cc(C#N)nc4C)C[C@@H]3C2)C[C@@H]1C,active,45.0,595.7100000000002,5.148120000000006,0.0,6.0,45.0
1701,CHEMBL1078231,CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC12CCN(C1(C)CCN(C(=O)c3c(C)ncnc3C)CC1)CC2,active,4.0,555.7640000000001,4.607940000000004,0.0,7.0,4.0
1702,CHEMBL1077358,CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC12CCN(C1C[C@@H]3CN(C(=O)c4c(C)ncnc4C)C[C@@H]3C1)CC2,active,14.0,567.7750000000001,4.463840000000004,0.0,7.0,14.0
1703,CHEMBL1077359,CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC12CCN(C1C[C@@H]3CN(C(=O)c4c(C)cc(C#N)nc4C)C[C@@H]3C1)CC2,active,15.0,591.797,4.940520000000006,0.0,7.0,15.0
1704,CHEMBL1077360,CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC12CCN(C1(C)C[C@@H]3CN(C(=O)c4c(C)ncnc4C)C[C@@H]3C1)CC2,active,25.0,581.802,4.853940000000004,0.0,7.0,25.0
1705,CHEMBL1077361,CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC12CCN(C1(C)C[C@@H]3CN(C(=O)c4c(C)cc(C#N)nc4C)C[C@@H]3C1)CC2,active,61.0,605.8240000000001,5.330620000000006,0.0,7.0,61.0
1706,CHEMBL1077362,CCCC[C@H]1CN(C[C@H]2CC[C@H](OCC)CC2)C(=O)OC12CCN(C1C[C@@H]3CN(C(=O)c4c(C)ncnc4C)C[C@@H]3C1)CC2,active,44.0,609.856,5.632540000000006,0.0,7.0,44.0
